time,year,month,latitude,longitude,depth,mag,magType,place,type,felt,alert,tsunami,sig,nst,dmin,rms,horizontalError,depthError,id
1976-03-16,1976,3,-5.5687,122.5663,34.2,5.4,mw,Ring of Fire - Indonesia,earthquake,1,green,0,64,178,4.622,0.73,15.3,0.7,us0000002784
1983-12-27,1983,12,38.3164,99.5797,93.8,5.0,mw,Himalayan Belt,earthquake,1,green,0,3,142,4.637,0.94,13.3,2.7,us0000002785
2000-01-26,2000,1,31.5487,80.2022,23.4,5.3,mb,Himalayan Belt,earthquake,1,green,0,53,188,4.645,1.48,13.5,2.3,us0000002786
1955-12-14,1955,12,61.3515,-169.8085,20.1,5.1,mw,Ring of Fire - Alaska,earthquake,2,green,0,18,166,2.57,0.19,14.3,5.5,us0000002787
1969-03-26,1969,3,-32.6357,-72.474,47.0,5.1,mw,Ring of Fire - Chile,earthquake,1,green,0,14,53,4.277,0.83,14.9,2.1,us0000002788
1970-06-12,1970,6,17.2058,122.8515,67.8,5.5,ms,Ring of Fire - Philippines,earthquake,3,green,0,88,18,3.982,1.31,4.6,11.5,us0000002789
1967-02-19,1967,2,36.6357,-2.3206,35.6,5.1,mw,Mediterranean Belt,earthquake,1,green,0,19,22,2.485,1.56,4.9,9.1,us0000002790
1959-09-09,1959,9,28.2951,88.8989,54.6,5.4,mb,Himalayan Belt,earthquake,7,green,0,69,96,0.86,1.32,16.0,5.5,us0000002791
2011-04-01,2011,4,33.0624,89.8453,31.1,5.5,mw,Himalayan Belt,earthquake,3,green,0,96,114,4.123,0.94,14.3,12.0,us0000002792
1992-02-08,1992,2,24.4193,-73.5018,62.8,6.1,mw,Caribbean,earthquake,7,yellow,0,198,7,3.307,1.42,19.1,9.3,us0000002793
1935-03-22,1935,3,37.5943,143.4377,19.5,5.6,mw,Ring of Fire - Japan,earthquake,3,green,0,104,198,1.536,1.35,12.0,6.4,us0000002794
1990-08-13,1990,8,35.0949,137.3961,27.0,5.4,mw,Ring of Fire - Japan,earthquake,1,green,0,63,176,0.692,1.72,9.4,7.0,us0000002795
1984-02-10,1984,2,1.4585,145.5993,8.7,5.3,mw,Other,earthquake,1,green,0,48,31,3.287,1.12,18.2,2.6,us0000002796
1908-01-09,1908,1,33.4652,77.9087,19.1,5.2,mw,Himalayan Belt,earthquake,1,green,0,30,88,0.601,0.13,5.3,1.2,us0000002797
2012-11-02,2012,11,31.2653,131.5958,87.4,5.2,mw,Ring of Fire - Japan,earthquake,8,green,0,28,171,3.691,1.42,15.3,9.2,us0000002798
1990-01-01,1990,1,17.6272,-66.6652,44.7,6.0,ms,Caribbean,earthquake,25,green,0,176,46,0.473,0.87,3.0,2.3,us0000002799
1994-03-17,1994,3,-7.8835,122.324,15.6,5.4,mw,Other,earthquake,3,green,0,66,147,3.691,0.86,18.4,4.6,us0000002800
1939-02-25,1939,2,-2.1984,110.0226,99.9,5.3,mw,Ring of Fire - Indonesia,earthquake,2,green,0,58,165,2.534,0.93,3.1,14.2,us0000002801
1954-04-01,1954,4,-3.4013,116.7639,309.4,5.3,ms,Ring of Fire - Indonesia,earthquake,0,green,0,61,58,4.327,1.63,4.1,3.1,us0000002802
2012-07-14,2012,7,58.0154,-154.1304,97.0,5.4,mb,Ring of Fire - Alaska,earthquake,1,green,0,64,48,3.234,1.27,1.8,4.8,us0000002803
1910-12-01,1910,12,30.7435,139.997,102.5,5.6,mb,Ring of Fire - Japan,earthquake,2,green,1,103,142,4.203,1.78,9.7,4.4,us0000002804
1939-08-01,1939,8,44.019,26.9434,26.0,5.4,mw,Mediterranean Belt,earthquake,2,green,0,70,162,0.849,1.58,3.2,2.3,us0000002805
1915-03-19,1915,3,39.8271,143.509,44.0,5.3,ms,Ring of Fire - Japan,earthquake,2,green,0,62,187,3.054,0.82,0.8,7.6,us0000002806
2005-09-18,2005,9,36.5075,138.6806,69.6,5.0,ms,Ring of Fire - Japan,earthquake,1,green,0,7,187,4.814,0.47,17.5,4.8,us0000002807
1916-08-04,1916,8,61.0151,-173.8006,17.2,5.0,ms,Ring of Fire - Alaska,earthquake,1,green,0,0,90,3.617,1.76,7.3,2.0,us0000002808
1944-07-21,1944,7,30.6003,-2.0719,49.5,5.1,mw,Mediterranean Belt,earthquake,2,green,0,20,69,1.023,0.82,1.4,9.0,us0000002809
1970-04-02,1970,4,-16.203,-28.256,15.8,5.3,ml,Mid-Atlantic Ridge,earthquake,1,green,0,50,164,1.731,0.8,11.0,1.1,us0000002810
1987-02-25,1987,2,-0.1145,109.3345,54.5,5.1,mw,Ring of Fire - Indonesia,earthquake,2,green,0,21,106,4.639,2.0,3.3,3.1,us0000002811
2006-10-02,2006,10,42.5752,137.0996,47.8,5.4,mb,Ring of Fire - Japan,earthquake,0,green,0,68,64,1.158,0.22,11.5,13.4,us0000002812
2021-04-08,2021,4,37.4262,-119.7485,37.7,5.9,mw,California - USA,earthquake,5,green,0,155,198,0.05,1.13,13.7,11.2,us0000002813
1990-03-25,1990,3,-42.3361,-68.0812,41.2,6.0,mw,Ring of Fire - Chile,earthquake,13,green,0,173,73,0.8,1.83,0.7,11.8,us0000002814
1938-03-01,1938,3,37.1794,-117.9296,7.6,5.8,ms,California - USA,earthquake,4,green,0,148,12,1.108,1.96,1.1,6.8,us0000002815
1969-02-18,1969,2,59.3402,-145.5018,32.8,5.4,mw,Ring of Fire - Alaska,earthquake,2,green,0,73,23,2.725,0.59,16.0,6.1,us0000002816
2014-12-13,2014,12,34.0864,141.9726,77.1,5.1,ms,Ring of Fire - Japan,earthquake,1,green,0,25,95,1.121,0.82,15.1,7.9,us0000002817
1940-09-01,1940,9,33.3773,14.387,14.6,5.6,ms,Mediterranean Belt,earthquake,3,green,0,114,158,2.739,0.96,14.7,13.0,us0000002818
1927-01-03,1927,1,41.9279,130.6475,160.2,5.8,ms,Ring of Fire - Japan,earthquake,7,green,0,145,50,1.219,1.32,7.8,10.8,us0000002819
2015-02-04,2015,2,38.3751,69.2507,26.4,5.5,mw,Himalayan Belt,earthquake,4,green,0,84,122,1.431,0.93,11.5,4.2,us0000002820
2022-01-22,2022,1,-6.3141,123.0829,73.8,5.3,ms,Ring of Fire - Indonesia,earthquake,2,green,0,58,28,1.533,1.08,19.0,12.4,us0000002821
2013-10-02,2013,10,30.4067,132.4474,164.0,5.5,mw,Ring of Fire - Japan,earthquake,2,green,0,94,48,1.914,0.44,1.1,11.5,us0000002822
2024-11-15,2024,11,12.1889,-147.8732,11.2,5.2,mw,Other,earthquake,1,green,0,27,178,3.499,0.34,11.9,5.1,us0000002823
2005-09-21,2005,9,38.593,-119.5125,19.8,5.0,mw,California - USA,earthquake,0,green,0,7,48,2.653,0.21,10.3,7.4,us0000002824
1976-11-24,1976,11,-37.0425,166.2615,33.3,5.4,mw,New Zealand,earthquake,4,green,0,71,36,2.221,0.51,6.4,2.2,us0000002825
1967-05-04,1967,5,43.9279,136.8512,50.8,5.1,ml,Ring of Fire - Japan,earthquake,2,green,0,16,121,2.363,0.5,11.6,13.8,us0000002826
1995-11-01,1995,11,35.1411,94.9698,20.2,5.4,mw,Himalayan Belt,earthquake,2,green,0,62,50,1.26,0.44,2.4,6.1,us0000002827
1941-02-24,1941,2,41.8828,-120.1047,11.0,5.1,mw,California - USA,earthquake,0,green,0,16,188,2.352,1.44,5.1,6.2,us0000002828
1945-05-24,1945,5,-46.5455,175.5977,332.9,5.6,mw,New Zealand,earthquake,4,green,0,114,88,0.187,0.19,17.7,8.0,us0000002829
1990-03-17,1990,3,-34.7234,-69.759,165.1,5.1,mw,Ring of Fire - Chile,earthquake,2,green,0,23,112,2.182,1.6,6.1,8.2,us0000002830
1964-09-19,1964,9,38.5237,76.1505,27.5,5.1,mw,Himalayan Belt,earthquake,0,green,0,14,22,2.372,1.91,19.7,6.8,us0000002831
1925-01-05,1925,1,33.9364,93.9214,38.6,5.1,ms,Himalayan Belt,earthquake,1,green,0,23,11,0.559,0.44,3.2,14.9,us0000002832
1965-02-05,1965,2,-26.5568,-41.1399,23.8,5.2,mw,Other,earthquake,1,green,0,28,5,1.391,0.95,17.6,4.7,us0000002833
1979-07-17,1979,7,37.8437,138.7099,52.4,5.4,mw,Ring of Fire - Japan,earthquake,3,green,0,65,114,0.206,1.59,7.0,14.4,us0000002834
1989-06-26,1989,6,-42.1502,-69.365,104.4,6.4,ms,Ring of Fire - Chile,earthquake,27,yellow,0,254,174,4.587,1.94,4.2,9.9,us0000002835
2011-05-21,2011,5,40.1507,143.9878,56.1,5.3,mw,Ring of Fire - Japan,earthquake,0,green,0,53,176,3.961,1.81,13.2,4.3,us0000002836
1968-06-19,1968,6,57.7157,-152.1779,31.4,5.3,mw,Ring of Fire - Alaska,earthquake,2,green,0,49,86,2.857,1.63,16.6,14.9,us0000002837
2005-05-07,2005,5,37.3241,139.3656,114.1,5.0,mw,Ring of Fire - Japan,earthquake,0,green,0,1,14,2.71,1.58,5.8,4.1,us0000002838
1942-12-13,1942,12,35.9259,142.4806,31.3,5.8,mw,Ring of Fire - Japan,earthquake,11,green,0,145,78,1.296,1.96,9.2,9.9,us0000002839
2011-04-08,2011,4,25.12,128.446,27.9,5.6,ml,Other,earthquake,2,green,0,106,132,0.124,1.55,1.8,4.0,us0000002840
1945-11-18,1945,11,52.8942,149.7712,55.1,5.9,mw,Other,earthquake,2,green,0,163,166,4.002,0.87,12.1,9.3,us0000002841
1912-09-12,1912,9,14.1691,120.3987,80.4,5.9,mw,Ring of Fire - Philippines,earthquake,4,green,0,162,15,1.132,1.76,14.9,8.5,us0000002842
1950-03-08,1950,3,37.7058,0.4739,34.8,5.4,mw,Mediterranean Belt,earthquake,0,green,0,66,45,0.537,1.79,7.3,6.9,us0000002843
2012-04-26,2012,4,14.0765,-30.1939,24.0,5.1,mw,Mid-Atlantic Ridge,earthquake,1,green,0,26,191,4.32,0.63,5.4,12.0,us0000002844
1956-09-18,1956,9,16.1593,122.2099,337.3,5.0,mw,Ring of Fire - Philippines,earthquake,0,green,0,3,86,3.478,0.68,18.6,12.8,us0000002845
1970-02-21,1970,2,-29.7327,-71.1778,31.4,5.2,mw,Ring of Fire - Chile,earthquake,2,green,0,32,13,0.188,0.58,12.0,13.6,us0000002846
1934-07-18,1934,7,-32.8425,-70.631,82.5,5.4,mw,Ring of Fire - Chile,earthquake,3,green,0,68,193,0.558,1.49,13.9,2.1,us0000002847
1993-08-05,1993,8,4.9555,121.3644,83.8,5.6,ml,Ring of Fire - Indonesia,earthquake,3,green,0,104,199,1.462,1.84,18.9,5.6,us0000002848
2020-09-13,2020,9,40.2119,-116.4178,70.2,5.1,mw,California - USA,earthquake,1,green,0,13,152,0.522,1.75,5.3,13.7,us0000002849
1991-01-14,1991,1,42.1862,139.4057,93.4,5.0,mw,Ring of Fire - Japan,earthquake,1,green,0,8,54,0.57,1.07,6.5,12.4,us0000002850
2016-07-08,2016,7,1.1533,114.0556,137.5,5.3,mw,Ring of Fire - Indonesia,earthquake,4,green,0,47,23,1.771,0.73,8.6,13.5,us0000002851
1980-09-21,1980,9,36.6663,31.7321,14.8,6.1,ml,Mediterranean Belt,earthquake,14,yellow,0,198,114,0.966,0.38,7.5,13.0,us0000002852
1998-11-12,1998,11,0.8499,134.4235,55.4,5.1,mw,Ring of Fire - Indonesia,earthquake,1,green,0,12,112,0.039,0.69,18.5,13.7,us0000002853
1956-10-27,1956,10,54.5187,-166.3415,55.6,5.8,mb,Ring of Fire - Alaska,earthquake,2,green,0,137,62,2.898,1.11,9.9,4.6,us0000002854
2008-11-07,2008,11,-18.5439,-66.7975,33.4,5.4,mw,Ring of Fire - Chile,earthquake,1,green,0,79,122,4.399,1.85,6.4,2.7,us0000002855
1956-12-22,1956,12,13.1116,126.5997,62.3,6.1,mb,Ring of Fire - Philippines,earthquake,6,yellow,0,189,174,2.062,1.5,6.0,6.2,us0000002856
1990-10-13,1990,10,19.6431,-67.4619,12.7,5.1,mb,Caribbean,earthquake,2,green,0,17,155,4.372,0.69,0.9,13.8,us0000002857
2023-07-20,2023,7,-40.3302,-69.9918,151.0,5.0,ms,Ring of Fire - Chile,earthquake,1,green,0,4,26,1.299,0.21,17.1,8.8,us0000002858
1967-09-11,1967,9,17.9666,120.4637,44.4,6.1,ms,Ring of Fire - Philippines,earthquake,16,yellow,0,189,22,1.29,1.83,3.9,12.4,us0000002859
1944-01-24,1944,1,37.9751,135.7975,52.7,5.9,mw,Ring of Fire - Japan,earthquake,13,green,0,159,87,4.804,1.12,4.7,3.9,us0000002860
2011-02-05,2011,2,2.3374,95.4332,66.0,6.5,mw,Ring of Fire - Indonesia,earthquake,38,yellow,0,264,190,2.681,0.39,17.7,5.2,us0000002861
1999-05-12,1999,5,11.6248,105.8717,28.7,5.5,mb,Other,earthquake,2,green,0,94,181,4.671,1.61,16.4,9.7,us0000002862
1995-01-01,1995,1,33.4648,103.5776,36.0,5.3,mw,Other,earthquake,1,green,0,51,64,3.017,1.17,1.8,12.7,us0000002863
1953-08-11,1953,8,33.7039,11.1978,26.9,6.6,mb,Mediterranean Belt,earthquake,38,orange,0,285,174,0.076,1.46,14.3,9.2,us0000002864
1954-11-10,1954,11,-4.9402,102.3911,62.0,5.1,mw,Ring of Fire - Indonesia,earthquake,1,green,0,16,31,2.987,1.64,8.6,12.8,us0000002865
2021-06-09,2021,6,32.4362,23.3713,9.1,5.2,mb,Other,earthquake,2,green,0,29,72,4.071,1.14,12.4,2.3,us0000002866
2001-11-24,2001,11,-41.9038,177.3315,63.2,5.3,mw,New Zealand,earthquake,4,green,0,47,73,1.573,1.15,2.8,7.6,us0000002867
1982-08-16,1982,8,33.3866,136.172,59.5,5.2,mw,Ring of Fire - Japan,earthquake,2,green,0,38,5,1.546,1.38,14.1,6.4,us0000002868
2009-01-17,2009,1,12.0355,126.0865,81.8,5.5,mw,Ring of Fire - Philippines,earthquake,1,green,0,83,162,4.876,0.36,18.0,1.2,us0000002869
1968-10-28,1968,10,-18.4259,-68.123,66.9,5.3,mw,Ring of Fire - Chile,earthquake,1,green,0,45,57,4.921,0.67,18.5,1.2,us0000002870
1981-08-22,1981,8,26.3655,-100.1742,44.3,5.1,mw,Other,earthquake,4,green,0,11,36,3.7,0.97,6.6,13.3,us0000002871
2013-12-19,2013,12,7.7298,126.4098,72.6,5.3,ms,Ring of Fire - Philippines,earthquake,3,green,0,50,140,0.576,1.94,16.2,11.6,us0000002872
1978-06-05,1978,6,16.2512,-81.4424,41.5,5.9,mb,Caribbean,earthquake,4,green,0,164,118,4.716,0.42,14.9,3.8,us0000002873
1981-10-03,1981,10,1.471,126.3019,122.0,5.2,mw,Ring of Fire - Indonesia,earthquake,0,green,0,29,14,2.947,1.14,9.6,11.7,us0000002874
2003-12-24,2003,12,35.3937,99.184,37.9,5.4,mb,Himalayan Belt,earthquake,2,green,0,77,77,4.928,1.62,18.2,5.6,us0000002875
2017-02-25,2017,2,13.5549,128.2787,80.7,5.5,ml,Ring of Fire - Philippines,earthquake,3,green,0,81,26,3.676,1.47,19.5,10.3,us0000002876
1914-06-11,1914,6,26.4884,84.658,30.9,5.2,ms,Himalayan Belt,earthquake,1,green,0,35,43,4.328,0.94,3.4,4.2,us0000002877
1989-07-04,1989,7,31.2405,130.9248,261.8,5.1,mb,Ring of Fire - Japan,earthquake,0,green,0,18,126,3.472,1.26,16.0,3.9,us0000002878
1980-08-06,1980,8,14.4923,123.9951,220.2,5.3,mw,Ring of Fire - Philippines,earthquake,2,green,0,46,144,0.037,0.52,19.7,2.1,us0000002879
1940-11-06,1940,11,43.706,136.4213,70.6,6.0,mw,Ring of Fire - Japan,earthquake,12,green,0,171,10,1.825,0.57,7.2,10.0,us0000002880
2020-11-26,2020,11,30.2334,149.2944,11.5,5.5,mb,Other,earthquake,1,green,0,83,92,2.933,1.85,7.6,14.2,us0000002881
2015-04-18,2015,4,-32.6831,-67.6633,174.2,5.1,mw,Ring of Fire - Chile,earthquake,1,green,0,13,67,4.964,0.7,1.4,9.5,us0000002882
2024-04-25,2024,4,4.3689,117.1449,313.3,5.1,mb,Ring of Fire - Indonesia,earthquake,1,green,0,22,44,1.521,1.32,13.6,11.0,us0000002883
2001-07-22,2001,7,38.5171,-38.8911,32.4,7.0,ms,Mid-Atlantic Ridge,earthquake,120,orange,0,347,82,1.058,1.5,14.2,6.8,us0000002884
2017-03-24,2017,3,-33.3785,-54.7704,10.7,5.7,mw,Other,earthquake,11,green,0,116,162,4.088,1.6,15.5,10.3,us0000002885
1949-12-26,1949,12,-21.5667,-1.5653,15.4,5.5,mw,Other,earthquake,4,green,0,86,189,3.609,0.27,1.4,7.5,us0000002886
1944-06-19,1944,6,43.7428,143.3447,119.4,5.1,mw,Ring of Fire - Japan,earthquake,1,green,0,11,125,3.151,0.45,12.9,1.3,us0000002887
2004-04-13,2004,4,1.5191,130.5754,126.2,5.3,ms,Ring of Fire - Indonesia,earthquake,2,green,0,53,89,1.302,1.81,19.8,8.9,us0000002888
2015-02-19,2015,2,5.3125,124.9153,97.1,5.0,mb,Ring of Fire - Philippines,earthquake,3,green,0,8,21,0.752,0.65,3.7,3.3,us0000002889
1976-02-15,1976,2,-21.11,-68.8934,35.0,5.0,ml,Ring of Fire - Chile,earthquake,0,green,0,8,47,3.882,1.41,18.8,12.4,us0000002890
1976-06-15,1976,6,33.9008,-121.2383,14.7,5.7,mb,California - USA,earthquake,5,green,0,118,109,4.761,1.62,9.9,6.6,us0000002891
1916-10-02,1916,10,13.0226,123.5704,61.0,5.6,mw,Ring of Fire - Philippines,earthquake,6,green,0,101,164,1.509,0.65,6.0,4.7,us0000002892
2021-05-18,2021,5,-38.2116,-65.1264,45.3,5.4,ms,Ring of Fire - Chile,earthquake,2,green,0,76,79,4.503,0.61,15.1,8.7,us0000002893
2008-10-19,2008,10,2.3814,131.543,82.7,5.0,mw,Ring of Fire - Indonesia,earthquake,0,green,0,7,125,2.529,0.71,18.3,13.6,us0000002894
1901-11-11,1901,11,-1.2852,110.7835,54.7,5.1,mw,Ring of Fire - Indonesia,earthquake,1,green,0,13,99,2.699,0.65,18.0,10.7,us0000002895
1988-03-14,1988,3,7.3602,123.5956,174.0,5.5,mw,Ring of Fire - Philippines,earthquake,3,green,0,83,89,2.303,1.11,6.9,7.9,us0000002896
1976-04-05,1976,4,44.256,135.9839,52.8,5.1,mw,Ring of Fire - Japan,earthquake,0,green,0,16,44,3.03,0.88,7.2,5.0,us0000002897
1946-05-27,1946,5,12.4446,-70.2151,24.1,5.0,mw,Caribbean,earthquake,1,green,0,5,144,2.311,0.17,3.2,10.7,us0000002898
2023-11-03,2023,11,-1.43,130.537,85.0,5.5,ms,Ring of Fire - Indonesia,earthquake,3,green,0,95,108,3.058,0.8,12.9,5.3,us0000002899
1998-10-27,1998,10,60.3637,-167.4829,76.6,5.1,mb,Ring of Fire - Alaska,earthquake,2,green,0,14,150,3.904,0.24,17.5,9.4,us0000002900
2008-05-08,2008,5,-32.2557,-69.5252,14.6,5.2,mb,Ring of Fire - Chile,earthquake,1,green,0,43,16,2.382,1.02,6.1,6.3,us0000002901
1932-08-28,1932,8,44.5657,144.388,67.8,5.1,mb,Ring of Fire - Japan,earthquake,1,green,0,10,51,2.637,1.9,11.3,12.0,us0000002902
1971-07-09,1971,7,-9.7692,136.8285,92.1,5.1,mb,Ring of Fire - Indonesia,earthquake,1,green,0,16,135,2.953,0.32,1.1,7.4,us0000002903
1901-10-22,1901,10,-37.3915,-65.1842,17.0,5.8,mb,Ring of Fire - Chile,earthquake,18,green,0,148,139,4.897,0.39,2.6,9.6,us0000002904
1971-02-02,1971,2,5.1445,126.9368,249.6,5.3,ms,Ring of Fire - Philippines,earthquake,1,green,0,48,52,2.694,1.75,12.3,5.4,us0000002905
2023-01-18,2023,1,-26.483,-71.3729,72.7,6.0,mb,Ring of Fire - Chile,earthquake,6,green,0,176,180,4.498,1.95,19.5,9.9,us0000002906
2024-10-09,2024,10,-5.9601,114.4544,77.9,5.5,mw,Ring of Fire - Indonesia,earthquake,6,green,0,89,194,4.274,0.99,8.4,4.8,us0000002907
1982-07-04,1982,7,14.1565,-66.1311,72.3,5.6,mb,Caribbean,earthquake,2,green,0,106,141,3.846,0.63,17.2,14.8,us0000002908
2012-08-23,2012,8,-53.6581,68.4459,7.2,5.7,mw,Other,earthquake,7,green,0,127,181,4.35,0.85,11.8,11.6,us0000002909
2023-08-28,2023,8,-35.9871,175.1819,87.2,5.6,mw,New Zealand,earthquake,5,green,0,104,18,0.921,1.23,7.1,6.4,us0000002910
1990-08-21,1990,8,28.6809,93.3887,65.3,5.4,mb,Himalayan Belt,earthquake,2,green,0,76,180,4.26,0.55,16.5,4.2,us0000002911
1919-06-27,1919,6,31.1622,144.8992,400.8,6.0,mw,Ring of Fire - Japan,earthquake,10,green,0,175,117,3.777,1.17,18.3,12.4,us0000002912
2019-04-18,2019,4,36.7376,140.3973,9.8,5.0,ms,Ring of Fire - Japan,earthquake,4,green,0,7,181,4.291,1.65,9.3,10.1,us0000002913
1922-04-23,1922,4,-1.3483,101.1875,281.5,5.3,mb,Ring of Fire - Indonesia,earthquake,2,green,0,53,7,4.16,1.62,12.9,4.4,us0000002914
1958-04-26,1958,4,-21.3027,-65.2106,258.6,5.1,mw,Ring of Fire - Chile,earthquake,1,green,0,22,48,2.71,1.86,10.8,11.3,us0000002915
2014-05-08,2014,5,32.1325,32.6605,54.7,5.1,mw,Mediterranean Belt,earthquake,1,green,0,18,76,4.886,1.31,2.9,6.0,us0000002916
1996-12-15,1996,12,-17.6613,-69.1798,24.1,5.6,mw,Ring of Fire - Chile,earthquake,4,green,0,107,156,4.443,0.81,14.3,1.9,us0000002917
1918-08-06,1918,8,30.2287,70.314,19.1,5.0,ml,Himalayan Belt,earthquake,1,green,0,5,22,3.654,1.62,3.6,8.8,us0000002918
1924-11-06,1924,11,-35.5488,-68.4183,75.8,5.5,ms,Ring of Fire - Chile,earthquake,4,green,0,97,6,1.585,0.66,14.3,6.6,us0000002919
2024-01-02,2024,1,-31.2666,25.1615,22.5,5.0,mw,Other,earthquake,1,green,0,3,85,0.901,1.79,5.9,0.8,us0000002920
1987-05-05,1987,5,-15.3648,-68.2769,153.1,6.1,ml,Ring of Fire - Chile,earthquake,7,yellow,0,200,92,2.536,0.31,0.9,9.2,us0000002921
1978-02-06,1978,2,41.4995,132.7493,83.9,5.0,mw,Ring of Fire - Japan,earthquake,2,green,0,3,187,3.905,0.63,10.2,12.0,us0000002922
1956-01-07,1956,1,31.4602,93.2491,198.7,5.6,mw,Himalayan Belt,earthquake,3,green,0,112,74,1.603,1.75,18.9,10.2,us0000002923
1998-09-08,1998,9,1.0386,131.9775,43.2,6.5,mw,Ring of Fire - Indonesia,earthquake,25,yellow,0,262,130,1.527,0.75,11.3,13.6,us0000002924
1996-07-13,1996,7,-3.0436,96.6402,63.4,5.1,mb,Ring of Fire - Indonesia,earthquake,1,green,0,23,85,2.561,1.17,16.9,3.0,us0000002925
1984-06-11,1984,6,37.1286,-123.6818,12.8,5.0,ms,California - USA,earthquake,0,green,0,1,104,0.99,0.13,16.8,12.7,us0000002926
2013-10-18,2013,10,11.3067,126.3785,46.0,5.4,mw,Ring of Fire - Philippines,earthquake,2,green,0,67,171,4.658,1.95,15.6,10.6,us0000002927
1984-12-17,1984,12,27.4423,75.09,10.6,5.9,mw,Himalayan Belt,earthquake,31,green,0,159,147,0.323,0.5,17.8,8.9,us0000002928
2000-09-23,2000,9,25.2079,-33.4133,17.8,5.3,mb,Mid-Atlantic Ridge,earthquake,1,green,0,45,82,4.055,0.37,12.7,3.2,us0000002929
1972-04-11,1972,4,39.1139,137.7202,100.2,5.1,ms,Ring of Fire - Japan,earthquake,0,green,0,9,26,4.845,1.2,19.3,14.5,us0000002930
2013-10-22,2013,10,41.7304,12.2588,98.1,5.1,mb,Mediterranean Belt,earthquake,0,green,0,11,189,0.755,0.64,1.3,8.1,us0000002931
1959-08-24,1959,8,-30.333,-72.8275,151.7,5.3,mw,Ring of Fire - Chile,earthquake,3,green,0,51,75,1.293,0.5,14.5,11.9,us0000002932
1996-04-20,1996,4,34.7417,-124.948,9.0,5.1,mb,California - USA,earthquake,0,green,0,16,161,1.875,0.13,2.9,13.8,us0000002933
1970-10-16,1970,10,37.7253,131.9679,85.1,5.1,mb,Ring of Fire - Japan,earthquake,2,green,0,24,145,3.093,1.13,9.4,8.2,us0000002934
1934-09-17,1934,9,36.0823,136.0919,172.9,5.2,mw,Ring of Fire - Japan,earthquake,1,green,0,40,112,1.362,0.98,13.5,5.7,us0000002935
2002-10-09,2002,10,59.3314,-153.446,28.1,5.0,mw,Ring of Fire - Alaska,earthquake,1,green,0,3,24,3.479,1.2,12.7,5.2,us0000002936
1992-04-09,1992,4,22.0275,-74.7125,51.1,6.1,mw,Caribbean,earthquake,9,yellow,0,191,81,0.4,0.62,11.6,7.3,us0000002937
2019-02-15,2019,2,40.5704,131.9917,79.3,5.6,mw,Ring of Fire - Japan,earthquake,4,green,0,101,102,4.077,1.22,2.8,3.4,us0000002938
1914-08-16,1914,8,-42.2791,-69.4033,135.4,5.3,mw,Ring of Fire - Chile,earthquake,1,green,0,55,30,4.253,1.32,17.8,12.0,us0000002939
2008-10-14,2008,10,35.5368,137.6064,45.1,5.4,ms,Ring of Fire - Japan,earthquake,2,green,0,68,192,4.93,0.96,6.1,0.6,us0000002940
2012-11-15,2012,11,-9.9102,119.381,41.7,6.1,mw,Ring of Fire - Indonesia,earthquake,15,yellow,0,200,178,2.919,1.1,14.3,9.3,us0000002941
1924-12-08,1924,12,57.2818,-165.3053,32.3,5.5,mw,Ring of Fire - Alaska,earthquake,5,green,0,90,118,3.179,0.16,12.7,9.0,us0000002942
1980-02-07,1980,2,-44.5946,-70.2786,42.4,5.4,mw,Ring of Fire - Chile,earthquake,1,green,0,72,176,4.641,1.25,19.2,12.1,us0000002943
2021-04-27,2021,4,6.463,122.9151,45.2,5.1,mw,Ring of Fire - Philippines,earthquake,1,green,0,12,20,3.447,0.62,6.1,8.0,us0000002944
1929-04-04,1929,4,4.8302,99.0285,186.2,5.4,mw,Ring of Fire - Indonesia,earthquake,2,green,0,67,17,0.752,1.25,10.0,0.9,us0000002945
1951-01-05,1951,1,-15.5577,-71.0837,14.1,5.2,ms,Ring of Fire - Chile,earthquake,2,green,0,27,182,4.591,1.99,19.3,4.1,us0000002946
1937-04-26,1937,4,0.4547,101.4891,430.1,5.3,mw,Ring of Fire - Indonesia,earthquake,5,green,0,51,100,0.272,1.07,4.9,10.7,us0000002947
1993-12-06,1993,12,32.1055,132.655,69.9,5.3,mw,Ring of Fire - Japan,earthquake,3,green,0,49,181,0.559,1.78,5.1,14.2,us0000002948
1962-12-13,1962,12,12.2292,121.769,32.5,5.4,mw,Ring of Fire - Philippines,earthquake,2,green,0,75,146,4.981,1.58,5.0,11.6,us0000002949
1969-11-26,1969,11,31.6175,14.9469,5.1,5.1,ml,Mediterranean Belt,earthquake,1,green,0,15,81,2.341,1.02,1.3,5.5,us0000002950
1964-04-27,1964,4,3.367,124.2424,392.0,5.5,mw,Ring of Fire - Indonesia,earthquake,2,green,0,82,100,0.423,1.3,2.2,4.0,us0000002951
1959-05-22,1959,5,-7.2354,134.439,50.8,5.2,mw,Ring of Fire - Indonesia,earthquake,0,green,0,29,30,1.407,0.85,5.0,1.2,us0000002952
1963-08-25,1963,8,43.4315,18.7292,14.5,5.2,mw,Mediterranean Belt,earthquake,1,green,0,35,35,2.571,0.13,9.9,14.3,us0000002953
2000-07-20,2000,7,57.8135,-22.4773,32.2,5.0,mw,Mid-Atlantic Ridge,earthquake,1,green,0,3,126,3.78,1.8,8.6,11.6,us0000002954
